accountId,ownerId,fullName,email,phone,role,kycStatus,accountType,balance,currency
acc0022,uid022,Le Van B,uid022@example.com,0900000022,CUSTOMER,VERIFIED,CHECKING,6100000,VND
acc0023,uid023,Le Van C,uid023@example.com,0900000023,CUSTOMER,VERIFIED,CHECKING,8900000,VND
acc0024,uid024,Le Van D,uid024@example.com,0900000024,CUSTOMER,VERIFIED,SAVING,13200000,VND
acc0025,uid025,Le Van E,uid025@example.com,0900000025,CUSTOMER,VERIFIED,MORTGAGE,210000000,VND
acc0026,uid026,Le Van F,uid026@example.com,0900000026,CUSTOMER,VERIFIED,CHECKING,5400000,VND
acc0027,uid027,Le Van G,uid027@example.com,0900000027,CUSTOMER,VERIFIED,SAVING,11800000,VND
acc0028,uid028,Le Van H,uid028@example.com,0900000028,CUSTOMER,VERIFIED,CHECKING,9700000,VND
acc0029,uid029,Le Van I,uid029@example.com,0900000029,CUSTOMER,VERIFIED,CHECKING,6800000,VND
acc0030,uid030,Le Van J,uid030@example.com,0900000030,CUSTOMER,VERIFIED,SAVING,16000000,VND
acc0031,uid031,Pham Thi A,uid031@example.com,0900000031,CUSTOMER,VERIFIED,CHECKING,4300000,VND
acc0032,uid032,Pham Thi B,uid032@example.com,0900000032,CUSTOMER,VERIFIED,CHECKING,8800000,VND
acc0033,uid033,Pham Thi C,uid033@example.com,0900000033,CUSTOMER,VERIFIED,SAVING,10500000,VND
acc0034,uid034,Pham Thi D,uid034@example.com,0900000034,CUSTOMER,VERIFIED,MORTGAGE,190000000,VND
acc0035,uid035,Pham Thi E,uid035@example.com,0900000035,CUSTOMER,VERIFIED,CHECKING,7200000,VND
acc0036,uid036,Pham Thi F,uid036@example.com,0900000036,CUSTOMER,VERIFIED,SAVING,9800000,VND
acc0037,uid037,Pham Thi G,uid037@example.com,0900000037,CUSTOMER,VERIFIED,CHECKING,12500000,VND
acc0038,uid038,Pham Thi H,uid038@example.com,0900000038,CUSTOMER,VERIFIED,CHECKING,5600000,VND
acc0039,uid039,Pham Thi I,uid039@example.com,0900000039,CUSTOMER,VERIFIED,SAVING,14300000,VND
acc0040,uid040,Pham Thi J,uid040@example.com,0900000040,CUSTOMER,VERIFIED,CHECKING,8400000,VND
acc0041,uid041,Hoang Van A,uid041@example.com,0900000041,CUSTOMER,VERIFIED,SAVING,12000000,VND
acc0042,uid042,Hoang Van B,uid042@example.com,0900000042,CUSTOMER,VERIFIED,CHECKING,9100000,VND
acc0043,uid043,Hoang Van C,uid043@example.com,0900000043,CUSTOMER,VERIFIED,CHECKING,6600000,VND
acc0044,uid044,Hoang Van D,uid044@example.com,0900000044,CUSTOMER,VERIFIED,SAVING,15500000,VND
acc0045,uid045,Hoang Van E,uid045@example.com,0900000045,CUSTOMER,VERIFIED,MORTGAGE,175000000,VND
acc0046,uid046,Hoang Van F,uid046@example.com,0900000046,CUSTOMER,VERIFIED,CHECKING,7000000,VND
acc0047,uid047,Hoang Van G,uid047@example.com,0900000047,CUSTOMER,VERIFIED,SAVING,9900000,VND
acc0048,uid048,Hoang Van H,uid048@example.com,0900000048,CUSTOMER,VERIFIED,CHECKING,12800000,VND
acc0049,uid049,Hoang Van I,uid049@example.com,0900000049,CUSTOMER,VERIFIED,CHECKING,6000000,VND
acc0050,uid050,Hoang Van J,uid050@example.com,0900000050,CUSTOMER,VERIFIED,SAVING,15000000,VND

